retriever,top_k,mean_precision,mean_recall,hit_rate,n_scored,n_excluded,n_questions,domain
bm25,3,0.2793,0.507,0.507,142,58,200,all
bm25,3,0.5667,0.7,0.7,10,52,62,contract
bm25,3,0.2593,0.4861,0.4861,72,2,74,employment
bm25,3,0.2556,0.5,0.5,60,4,64,pdpa
bm25,5,0.2493,0.5634,0.5634,142,58,200,all
bm25,5,0.5,0.7,0.7,10,52,62,contract
bm25,5,0.2306,0.5556,0.5556,72,2,74,employment
bm25,5,0.23,0.55,0.55,60,4,64,pdpa
dense,3,0.2887,0.5775,0.5775,142,58,200,all
dense,3,0.4333,0.8,0.8,10,52,62,contract
dense,3,0.2917,0.5972,0.5972,72,2,74,employment
dense,3,0.2611,0.5167,0.5167,60,4,64,pdpa
dense,5,0.2493,0.6549,0.6549,142,58,200,all
dense,5,0.32,0.8,0.8,10,52,62,contract
dense,5,0.2278,0.6389,0.6389,72,2,74,employment
dense,5,0.2633,0.65,0.65,60,4,64,pdpa
hybrid,3,0.3216,0.5845,0.5845,142,58,200,all
hybrid,3,0.6667,0.8,0.8,10,52,62,contract
hybrid,3,0.3102,0.6111,0.6111,72,2,74,employment
hybrid,3,0.2778,0.5167,0.5167,60,4,64,pdpa
hybrid,5,0.293,0.7254,0.7254,142,58,200,all
hybrid,5,0.54,0.9,0.9,10,52,62,contract
hybrid,5,0.2667,0.75,0.75,72,2,74,employment
hybrid,5,0.2833,0.6667,0.6667,60,4,64,pdpa
